iata_code,icao_code,ident,name,municipality,iso_country,continent,latitude_deg,longitude_deg,type,scheduled_service
DGM,,DGM,Dandugama Seaplane Base,Colombo,LK,AS,7.1079,79.8721,seaplane_base,no
KMS,DGSI,DGSI,Prempeh I International Airport,Kumasi,GH,AF,6.71456,-1.59082,large_airport,yes
NYI,DGSN,DGSN,Sunyani Airport,Sunyani,GH,AF,7.36183,-2.32876,medium_airport,yes
TKD,DGTK,DGTK,Takoradi Airport,Sekondi-Takoradi,GH,AF,4.896059989929199,-1.7747600078582764,medium_airport,yes
DHB,,DHB,Deer Harbor SPB,Deer Harbor,US,NA,48.616667,-123.002778,seaplane_base,yes
DHG,,DHG,Dalnegorsk Airport,Dalnegorsk,RU,EU,44.558748,135.490005,small_airport,no
ABO,DIAO,DIAO,Aboisso Airport,Aboisso,CI,AF,5.461944,-3.234722,small_airport,no
ABJ,DIAP,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,AF,5.26139,-3.92629,large_airport,yes
OGO,DIAU,DIAU,Abengourou Airport,Abengourou,CI,AF,6.71556,-3.47028,small_airport,no
BXI,DIBI,DIBI,Boundiali Airport,Boundiali,CI,AF,9.540571,-6.469831,small_airport,no
BYK,DIBK,DIBK,Bouaké Airport,Bouaké,CI,AF,7.7388,-5.07367,medium_airport,yes
BQO,DIBN,DIBN,Bouna Airport,Bouna,CI,AF,9.255556,-3.033333,small_airport,no
BDK,DIBU,DIBU,Soko Airport,Bondoukou,CI,AF,8.01722,-2.76194,small_airport,no
DIM,DIDK,DIDK,Dimbokro Airport,Dimbokro,CI,AF,6.65167,-4.64056,small_airport,no
DJO,DIDL,DIDL,Daloa Airport,,CI,AF,6.79281,-6.47319,medium_airport,no
GGN,DIGA,DIGA,Gagnoa Airport,Gagnoa,CI,AF,6.102855,-5.986809,small_airport,no
GGO,DIGL,DIGL,Guiglo Airport,Guiglo,CI,AF,6.534711,-7.526847,small_airport,no
BBV,DIGN,DIGN,Nero-Mer Airport,Grand-Béréby,CI,AF,4.64341306686,-6.923961639400001,small_airport,no
HGO,DIKO,DIKO,Korhogo Airport,Korhogo,CI,AF,9.38718,-5.55666,medium_airport,yes
MJC,DIMN,DIMN,Man Airport,,CI,AF,7.27207,-7.58736,medium_airport,no
KEO,DIOD,DIOD,Odienne Airport,Odienne,CI,AF,9.539457,-7.56134,small_airport,no
OFI,DIOF,DIOF,Ouango Fitini Airport,Ouango Fitini,CI,AF,9.6,-4.05,small_airport,no
SEO,DISG,DISG,Séguéla Airport,Séguéla,CI,AF,7.96,-6.644167,small_airport,no
SPY,DISP,DISP,San Pedro Airport,,CI,AF,4.74672,-6.66082,medium_airport,yes
ZSS,DISS,DISS,Sassandra Airport,Sassandra,CI,AF,4.928888,-6.133156,small_airport,no
TXU,DITB,DITB,Tabou Airport,Tabou,CI,AF,4.437809467315674,-7.362728118896484,small_airport,no
TOZ,DITM,DITM,Mahana Airport,Touba,CI,AF,8.2934,-7.674,small_airport,no
